"","AOI.Name","Trial","Stimulus","Category.Group","Index","Event.Start.Trial.Time","Event.End.Trial.Time","Event.Duration","Participant"
"1","Grid",15,"Folie8.jpg","Eye",5,2430.4,2606.5,167,"p1"
"2",NA,8,"Folie22.jpg","Eye",14,4327.4,4334.6,8.4,"p1"
"3","Grid",12,"Folie4.jpg","Eye",16,4876.7,5081.8,167,"p1"
"4","Grid",21,"Folie10.jpg","Eye",15,4679.4,4974.6,200.4,"p1"
"5",NA,2,"Folie3.jpg","Information",1,0,NA,NA,"p1"
"6","Grid",26,"Folie5.jpg","Eye",12,2808.6,3023.5,233.9,"p1"
"7",NA,6,"Folie9.jpg","Eye",6,2473.7,2522.7,8.4,"p1"
"8","Grid",27,"Folie18.jpg","Eye",25,8196.4,8259.9,75.1,"p1"
"9",NA,3,"Folie25.jpg","Eye",25,7147.2,7147.9,8.3,"p1"
"10","Grid",20,"Folie29.jpg","Eye",17,4824.1,4968.5,183.7,"p1"
"11",NA,15,"Folie8.jpg","Eye",10,4653.5,4723.7,8.4,"p1"
"12","Fixation",23,"Folie14.jpg","Eye",3,555.6,797.6,250.6,"p1"
"13",NA,7,"Folie26.jpg","Eye",19,7304,7309.2,8.3,"p1"
"14",NA,2,"Folie3.jpg","Eye",16,5081.8,5066.9,8.4,"p1"
"15","Target Word",14,"Folie20.jpg","Eye",5,2433.2,2737.3,300.5,"p1"
"16","Grid",15,"Folie8.jpg","Eye",19,5227.6,5480,167,"p1"
"17",NA,13,"Folie7.jpg","Eye",3,2260.8,2295.9,8.4,"p1"
"18",NA,24,"Folie21.jpg","Information",1,0,NA,NA,"p1"
"19",NA,14,"Folie20.jpg","Eye",8,2587.9,2596.5,33.4,"p1"
"20",NA,9,"Folie16.jpg","Eye",22,7862.1,7866.7,8.3,"p1"
"21",NA,24,"Folie21.jpg","Eye",1,5462.6,5644.2,400.6,"p1"
"22","Grid",29,"Folie15.jpg","Eye",9,2355.8,2455.2,100.2,"p1"
"23",NA,8,"Folie22.jpg","Eye",2,388.7,426.9,33.4,"p1"
"24","Fixation",24,"Folie21.jpg","Eye",5,1519.3,2264.9,726.7,"p1"
"25",NA,17,"Folie1.jpg","Eye",15,4913.5,4903.6,8.4,"p1"
"26","Grid",3,"Folie25.jpg","Eye",1,13,233.2,217,"p1"
"27",NA,19,"Folie2.jpg","Eye",16,5491.4,5510.5,8.3,"p1"
"28","Grid",11,"Folie30.jpg","Eye",1,1.1,110.4,108.5,"p1"
"29","Fixation",7,"Folie26.jpg","Eye",3,655.6,2250.1,1535.7,"p1"
"30",NA,15,"Folie8.jpg","Eye",3,960.5,1054.7,25,"p1"
"31",NA,2,"Folie3.jpg","Eye",11,3519.2,3537.6,8.4,"p1"
"32",NA,27,"Folie18.jpg","Eye",4,2370.6,2369.4,8.3,"p1"
"33","Target Word",21,"Folie10.jpg","Eye",7,2514.6,2729.4,217.1,"p1"
"34","Fixation",19,"Folie2.jpg","Eye",3,442.5,2220.8,1820.4,"p1"
"35","Grid",28,"Folie6.jpg","Eye",15,3987.3,4281.9,317.4,"p1"
"36",NA,16,"Folie27.jpg","Eye",5,2287,2316.8,33.4,"p1"
"37","Grid",18,"Folie11.jpg","Eye",7,3073.4,3144,100.1,"p1"
"38",NA,30,"Folie17.jpg","Eye",7,3150,3207.7,25,"p1"
"39","Grid",14,"Folie20.jpg","Eye",1,5.8,230.6,225.4,"p1"
"40",NA,12,"Folie4.jpg","Eye",16,6127.9,6129,8.6,"p1"
"41",NA,24,"Folie21.jpg","Eye",6,2824.8,2822.6,33.4,"p1"
"42","Fixation",8,"Folie22.jpg","Eye",4,1480.5,2324.6,1653.5,"p1"
"43",NA,28,"Folie6.jpg","Eye",6,2227.6,2277.4,33.4,"p1"
"44",NA,28,"Folie6.jpg","Eye",7,2764.7,2779.8,33.4,"p1"
"45",NA,18,"Folie11.jpg","Eye",54,36034.9,37170.7,25,"p1"
"46",NA,18,"Folie11.jpg","Eye",23,5194.1,5206.8,16.7,"p1"
"47","Grid",3,"Folie25.jpg","Eye",24,7596.9,8127,584.3,"p1"
"48","Target Word",4,"Folie24.jpg","Eye",6,2522.9,2873.5,358.9,"p1"
"49",NA,11,"Folie30.jpg","Eye",12,4093.3,4175.8,8.3,"p1"
