"AOI.Name","Trial","Stimulus","Category.Group","Index","Event.Start.Trial.Time","Event.End.Trial.Time","Event.Duration"
"Grid",15,"Folie8.jpg","Eye",5,2430.4,2606.5,167
NA,8,"Folie22.jpg","Eye",14,4327.4,4334.6,8.4
"Grid",12,"Folie4.jpg","Eye",16,4876.7,5081.8,167
"Grid",21,"Folie10.jpg","Eye",15,4679.4,4974.6,200.4
NA,2,"Folie3.jpg","Information",1,0,NA,NA
"Grid",26,"Folie5.jpg","Eye",12,2808.6,3023.5,233.9
NA,6,"Folie9.jpg","Eye",6,2473.7,2522.7,8.4
"Grid",27,"Folie18.jpg","Eye",25,8196.4,8259.9,75.1
NA,3,"Folie25.jpg","Eye",25,7147.2,7147.9,8.3
"Grid",20,"Folie29.jpg","Eye",17,4824.1,4968.5,183.7
NA,15,"Folie8.jpg","Eye",10,4653.5,4723.7,8.4
"Fixation",23,"Folie14.jpg","Eye",3,555.6,797.6,250.6
NA,7,"Folie26.jpg","Eye",19,7304,7309.2,8.3
NA,2,"Folie3.jpg","Eye",16,5081.8,5066.9,8.4
"Target Word",14,"Folie20.jpg","Eye",5,2433.2,2737.3,300.5
"Grid",15,"Folie8.jpg","Eye",19,5227.6,5480,167
NA,13,"Folie7.jpg","Eye",3,2260.8,2295.9,8.4
NA,24,"Folie21.jpg","Information",1,0,NA,NA
NA,14,"Folie20.jpg","Eye",8,2587.9,2596.5,33.4
NA,9,"Folie16.jpg","Eye",22,7862.1,7866.7,8.3
NA,24,"Folie21.jpg","Eye",1,5462.6,5644.2,400.6
"Grid",29,"Folie15.jpg","Eye",9,2355.8,2455.2,100.2
NA,8,"Folie22.jpg","Eye",2,388.7,426.9,33.4
"Fixation",24,"Folie21.jpg","Eye",5,1519.3,2264.9,726.7
NA,17,"Folie1.jpg","Eye",15,4913.5,4903.6,8.4
"Grid",3,"Folie25.jpg","Eye",1,13,233.2,217
NA,19,"Folie2.jpg","Eye",16,5491.4,5510.5,8.3
"Grid",11,"Folie30.jpg","Eye",1,1.1,110.4,108.5
"Fixation",7,"Folie26.jpg","Eye",3,655.6,2250.1,1535.7
NA,15,"Folie8.jpg","Eye",3,960.5,1054.7,25
NA,2,"Folie3.jpg","Eye",11,3519.2,3537.6,8.4
NA,27,"Folie18.jpg","Eye",4,2370.6,2369.4,8.3
"Target Word",21,"Folie10.jpg","Eye",7,2514.6,2729.4,217.1
"Fixation",19,"Folie2.jpg","Eye",3,442.5,2220.8,1820.4
"Grid",28,"Folie6.jpg","Eye",15,3987.3,4281.9,317.4
NA,16,"Folie27.jpg","Eye",5,2287,2316.8,33.4
"Grid",18,"Folie11.jpg","Eye",7,3073.4,3144,100.1
NA,30,"Folie17.jpg","Eye",7,3150,3207.7,25
"Grid",14,"Folie20.jpg","Eye",1,5.8,230.6,225.4
NA,12,"Folie4.jpg","Eye",16,6127.9,6129,8.6
NA,24,"Folie21.jpg","Eye",6,2824.8,2822.6,33.4
"Fixation",8,"Folie22.jpg","Eye",4,1480.5,2324.6,1653.5
NA,28,"Folie6.jpg","Eye",6,2227.6,2277.4,33.4
NA,28,"Folie6.jpg","Eye",7,2764.7,2779.8,33.4
NA,18,"Folie11.jpg","Eye",54,36034.9,37170.7,25
NA,18,"Folie11.jpg","Eye",23,5194.1,5206.8,16.7
"Grid",3,"Folie25.jpg","Eye",24,7596.9,8127,584.3
"Target Word",4,"Folie24.jpg","Eye",6,2522.9,2873.5,358.9
NA,11,"Folie30.jpg","Eye",12,4093.3,4175.8,8.3
"Fixation",23,"Folie14.jpg","Eye",21,8932.7,9078.1,158.6
"Fixation",27,"Folie18.jpg","Eye",4,1898.4,2066.7,200.4
"Grid",11,"Folie30.jpg","Eye",23,5696.8,5892.1,192
"Grid",20,"Folie29.jpg","Eye",16,5082.7,5211.7,183.7
"Fixation",3,"Folie25.jpg","Eye",3,412,495.4,108.6
NA,7,"Folie26.jpg","Eye",5,2415.8,2442.1,16.7
NA,29,"Folie15.jpg","Eye",12,4733.1,4760.7,16.7
NA,10,"Folie23.jpg","Eye",6,2320.4,2339.9,50.1
NA,18,"Folie11.jpg","Eye",18,7594,7599.6,17.3
NA,16,"Folie27.jpg","Eye",7,2977.4,3008.9,33.4
NA,2,"Folie3.jpg","Eye",1,257.3,346.8,66.8
NA,27,"Folie18.jpg","Eye",12,4004.5,4049.2,8.4
"Fixation",12,"Folie4.jpg","Eye",21,7164.6,7847.2,359
"Grid",8,"Folie22.jpg","Eye",7,2809.4,2987.3,158.6
NA,30,"Folie17.jpg","Eye",2,5256.8,5424.2,359
NA,15,"Folie8.jpg","Eye",11,3390.4,3418.8,25.1
"Target Word",6,"Folie9.jpg","Eye",26,8254.8,8760.1,550.9
NA,17,"Folie1.jpg","Eye",12,3660.6,3673.5,16.7
"Fixation",25,"Folie28.jpg","Eye",4,1374.8,1774.4,400.8
NA,5,"Folie12.jpg","Eye",14,3901.2,3915.1,8.3
"Grid",13,"Folie7.jpg","Eye",14,4305.7,4768,567.9
NA,14,"Folie20.jpg","Eye",12,3335.1,3349.2,16.7
NA,11,"Folie30.jpg","Eye",11,3372.7,3375,16.7
"Grid",4,"Folie24.jpg","Eye",8,2888.2,3051.3,183.6
NA,6,"Folie9.jpg","Eye",14,3750.3,3750.4,8.4
"Fixation",11,"Folie30.jpg","Eye",6,1504.6,1757.7,417.6
NA,25,"Folie28.jpg","Eye",15,5439.2,5448.2,8.4
NA,19,"Folie2.jpg","Eye",23,6824.1,6854.2,8.1
"White Space",22,"Folie13.jpg","Eye",7,2557.7,3015.7,367.6
"Grid",16,"Folie27.jpg","Eye",16,3922.5,4007.2,133.6
NA,28,"Folie6.jpg","Eye",13,3686.8,3710.8,16.7
NA,1,"Folie19.jpg","Eye",6,3028.8,3031,16.7
"Grid",7,"Folie26.jpg","Eye",13,4733.4,4985.7,218.1
"Fixation",12,"Folie4.jpg","Eye",4,760.7,939.3,200.4
"Grid",14,"Folie20.jpg","Eye",9,3298.5,3490.5,208.8
NA,26,"Folie5.jpg","Eye",13,6150.5,6206.8,16.7
NA,22,"Folie13.jpg","Eye",1,3835.8,4627.8,918.1
NA,7,"Folie26.jpg","Eye",2,4488.3,5170.6,709.6
NA,26,"Folie5.jpg","Eye",12,3273.1,3298.1,16.7
"Grid",14,"Folie20.jpg","Eye",13,3962.8,4189.4,200.4
"Target Word",18,"Folie11.jpg","Eye",1,7.1,342,325.8
NA,17,"Folie1.jpg","Eye",10,3452.2,3479,66.8
NA,12,"Folie4.jpg","Eye",10,2748.5,2802.1,33.4
NA,17,"Folie1.jpg","Eye",11,8216.8,8217.2,33.4
"Grid",7,"Folie26.jpg","Eye",29,7087.1,7218,158.4
"Fixation",25,"Folie28.jpg","Eye",4,1314.3,2086.5,835.3
"Grid",3,"Folie25.jpg","Eye",22,7315.4,8108.5,951.6
NA,22,"Folie13.jpg","Eye",4,1580.3,1639.4,116.9
"Grid",26,"Folie5.jpg","Eye",29,6479.5,6654.9,175.4
NA,25,"Folie28.jpg","Eye",18,5219.5,5257.7,125.2
NA,15,"Folie8.jpg","Eye",21,7273.8,7289.6,25
"Grid",28,"Folie6.jpg","Eye",24,6664.1,6813.6,158.7
"Target Word",4,"Folie24.jpg","Eye",27,8433.1,8724.1,158.8
"Grid",26,"Folie5.jpg","Eye",12,4945.1,5089,158.7
"Grid",4,"Folie24.jpg","Eye",8,2796.9,2901.3,108.5
NA,23,"Folie14.jpg","Eye",20,8214.2,8264.8,8.4
NA,7,"Folie26.jpg","Eye",18,5847.3,5861.5,16.7
"Grid",7,"Folie26.jpg","Eye",18,7691.1,7858.9,175.3
NA,27,"Folie18.jpg","Eye",22,7601.3,7855.6,33.4
NA,6,"Folie9.jpg","Eye",4,2202.3,2224.2,33.4
NA,11,"Folie30.jpg","Eye",10,3274.5,3280.8,8.4
"White Space",14,"Folie20.jpg","Eye",7,2328.9,2378.7,75.1
NA,8,"Folie22.jpg","Eye",16,4638.8,4670.2,16.7
NA,15,"Folie8.jpg","Eye",12,3792.9,3863.3,25.1
"Fixation",27,"Folie18.jpg","Eye",1,0.9,169.8,208.8
"Grid",4,"Folie24.jpg","Eye",1,0.6,186.1,175.3
NA,29,"Folie15.jpg","Eye",18,8042.5,8376.5,66.8
NA,6,"Folie9.jpg","Eye",3,7987.6,8116.6,75.2
"Grid",21,"Folie10.jpg","Eye",24,7017.3,7126,133.5
NA,24,"Folie21.jpg","Eye",6,2764.3,2790.2,33.4
"Target Word",5,"Folie12.jpg","Eye",5,2453.3,2796.4,334.1
"Grid",21,"Folie10.jpg","Eye",12,3268.1,3423.8,133.6
NA,5,"Folie12.jpg","Eye",14,4085.8,4122.7,16.7
"Target Word",28,"Folie6.jpg","Eye",26,7177,7609.1,734.9
"Grid",19,"Folie2.jpg","Eye",24,7041.2,8085.4,1118.9
NA,18,"Folie11.jpg","Eye",25,7764,7997.8,233.8
NA,7,"Folie26.jpg","Eye",14,3480.7,3491.5,16.7
NA,22,"Folie13.jpg","Eye",18,7064.1,7102.6,33.4
NA,4,"Folie24.jpg","Eye",5,2945.6,2963,43.3
NA,4,"Folie24.jpg","Eye",1,5444.3,6237.4,835.1
NA,25,"Folie28.jpg","Eye",2,6524.7,7153.6,993.9
NA,2,"Folie3.jpg","Eye",10,3647.3,3655,25
"Grid",12,"Folie4.jpg","Eye",23,7587.3,7987.3,325.7
"Target Word",7,"Folie26.jpg","Eye",14,6520.1,8905.4,2453.9
"Grid",5,"Folie12.jpg","Eye",19,4993.3,5251.4,259
NA,5,"Folie12.jpg","Eye",3,808.6,836.5,8.3
"Grid",8,"Folie22.jpg","Eye",25,7400.5,7592.7,217
"Grid",18,"Folie11.jpg","Eye",32,8954.1,9023.8,83.6
"Grid",10,"Folie23.jpg","Eye",18,4623.8,4798,192
"Grid",2,"Folie3.jpg","Eye",21,6423.6,6777.1,242.1
NA,18,"Folie11.jpg","Eye",17,5117.4,5143.1,16.7
"Grid",17,"Folie1.jpg","Eye",17,5158.5,5360.4,200.3
"White Space",24,"Folie21.jpg","Eye",3,2028,2242,269.8
NA,26,"Folie5.jpg","Eye",11,5043.1,5049.5,33.4
"Grid",20,"Folie29.jpg","Eye",15,4582,4785.1,150.2
NA,23,"Folie14.jpg","Eye",24,8927.6,8982.7,25
NA,9,"Folie16.jpg","Eye",21,6767.2,6780.8,8.3
"Target Word",22,"Folie13.jpg","Eye",22,8645.6,9099.3,417.5
NA,18,"Folie11.jpg","Eye",17,6275.4,6334.2,116.8
NA,24,"Folie21.jpg","Eye",13,4239.4,4298.9,33.4
NA,13,"Folie7.jpg","Eye",13,4015,4040.4,108.6
NA,19,"Folie2.jpg","Eye",7,3097.2,3133.5,33.4
NA,12,"Folie4.jpg","Eye",12,4297.8,4329.9,16.7
"Grid",10,"Folie23.jpg","Eye",14,4398.2,4549.5,200.3
NA,23,"Folie14.jpg","Eye",2,4821.9,5137.5,350.6
NA,2,"Folie3.jpg","Eye",20,7970.6,7986.7,8.3
NA,24,"Folie21.jpg","Eye",4,2597,2598.1,8.4
NA,20,"Folie29.jpg","Eye",9,3547.5,3564.9,16.7
"Grid",24,"Folie21.jpg","Eye",18,5396.7,5697.6,283.9
NA,11,"Folie30.jpg","Eye",11,2896,2924.7,8.4
"Grid",1,"Folie19.jpg","Eye",9,2883.2,3084.9,233.8
"Grid",30,"Folie17.jpg","Eye",18,6432.6,6547.2,116.8
"Grid",5,"Folie12.jpg","Eye",22,6697.9,6894.3,150.4
"Grid",11,"Folie30.jpg","Eye",19,5462.2,5839.9,400.9
"Target Word",1,"Folie19.jpg","Eye",10,2766,3022.9,167
NA,3,"Folie25.jpg","Eye",22,6861.5,6885.8,25.1
"White Space",17,"Folie1.jpg","Eye",7,2248,2358.2,91.9
"Grid",8,"Folie22.jpg","Eye",31,8402.6,8484.3,66.8
