RECORDING_SESSION_LABEL,TRIAL_INDEX,DATA_FILE,EYE_USED,stimulus,condition,IA_LABEL,IA_FIRST_FIXATION_DURATION,TRIAL_FIXATION_COUNT,IA_REGRESSION_PATH_DURATION
p1,1,p1.edf,RIGHT,The doctor enjoyed his day off.,congruent,the,219.10413663809834,9,252.35474457770232
p1,1,p1.edf,RIGHT,The doctor enjoyed his day off.,congruent,doctor,208.03040294191973,9,373.2665785428777
p1,1,p1.edf,RIGHT,The doctor enjoyed his day off.,congruent,enjoyed,182.7531550037699,9,265.0159246198955
p1,1,p1.edf,RIGHT,The doctor enjoyed his day off.,congruent,his,213.3278586146058,9,233.09694458368472
p1,1,p1.edf,RIGHT,The doctor enjoyed his day off.,congruent,day,212.46829240807256,9,229.62831436141215
p1,1,p1.edf,RIGHT,The doctor enjoyed his day off.,congruent,off,191.25751962650685,9,278.5081697938225
p1,2,p1.edf,RIGHT,The nurse liked his new shoes.,incongruent,the,311.71463841120635,9,367.5324622264697
p1,2,p1.edf,RIGHT,The nurse liked his new shoes.,incongruent,nurse,174.44001979126736,9,488.62412146780116
p1,2,p1.edf,RIGHT,The nurse liked his new shoes.,incongruent,liked,232.00891289358714,9,396.3816840715654
p1,2,p1.edf,RIGHT,The nurse liked his new shoes.,incongruent,his,263.71966588268947,9,517.5183584053597
p1,2,p1.edf,RIGHT,The nurse liked his new shoes.,incongruent,new,228.1814482384789,9,508.8801848422601
p1,2,p1.edf,RIGHT,The nurse liked his new shoes.,incongruent,shoes,190.07924075042143,9,368.4001137424855
p2,1,p2.edf,RIGHT,The doctor enjoyed her day off.,incongruent,the,232.32549199780442,9,648.3133479560134
p2,1,p2.edf,RIGHT,The doctor enjoyed her day off.,incongruent,doctor,271.9205404013382,9,605.5193602393812
p2,1,p2.edf,RIGHT,The doctor enjoyed her day off.,incongruent,enjoyed,224.79230243669892,9,590.5853901686294
p2,1,p2.edf,RIGHT,The doctor enjoyed her day off.,incongruent,her,250.52888250800007,9,455.454112183836
p2,1,p2.edf,RIGHT,The doctor enjoyed her day off.,incongruent,day,243.93383545297314,9,441.1062478582968
p2,1,p2.edf,RIGHT,The doctor enjoyed her day off.,incongruent,off,228.39034154549816,9,460.2912183402494
p2,2,p2.edf,RIGHT,The nurse liked her new shoes.,congruent,the,198.01843746522474,9,197.09626141689193
p2,2,p2.edf,RIGHT,The nurse liked her new shoes.,congruent,nurse,181.71783960222567,9,176.67495266835712
p2,2,p2.edf,RIGHT,The nurse liked her new shoes.,congruent,liked,178.3522813262929,9,180.34516937506126
p2,2,p2.edf,RIGHT,The nurse liked her new shoes.,congruent,her,207.9233550104969,9,212.2691382161342
p2,2,p2.edf,RIGHT,The nurse liked her new shoes.,congruent,new,185.4977966952081,9,162.29892052025227
p2,2,p2.edf,RIGHT,The nurse liked her new shoes.,congruent,shoes,215.69910561911308,9,191.10733177028774
p3,1,p3.edf,RIGHT,The doctor enjoyed his day off.,congruent,the,219.10413663809834,12,252.35474457770232
p3,1,p3.edf,RIGHT,The doctor enjoyed his day off.,congruent,doctor,208.03040294191973,12,373.2665785428777
p3,1,p3.edf,RIGHT,The doctor enjoyed his day off.,congruent,enjoyed,182.7531550037699,12,265.0159246198955
p3,1,p3.edf,RIGHT,The doctor enjoyed his day off.,congruent,his,213.3278586146058,12,233.09694458368472
p3,1,p3.edf,RIGHT,The doctor enjoyed his day off.,congruent,day,212.46829240807256,12,229.62831436141215
p3,1,p3.edf,RIGHT,The doctor enjoyed his day off.,congruent,off,191.25751962650685,12,278.5081697938225
p3,2,p3.edf,RIGHT,The nurse liked his new shoes.,incongruent,the,311.71463841120635,12,367.5324622264697
p3,2,p3.edf,RIGHT,The nurse liked his new shoes.,incongruent,nurse,174.44001979126736,12,488.62412146780116
p3,2,p3.edf,RIGHT,The nurse liked his new shoes.,incongruent,liked,232.00891289358714,12,396.3816840715654
p3,2,p3.edf,RIGHT,The nurse liked his new shoes.,incongruent,his,263.71966588268947,12,517.5183584053597
p3,2,p3.edf,RIGHT,The nurse liked his new shoes.,incongruent,new,228.1814482384789,12,508.8801848422601
p3,2,p3.edf,RIGHT,The nurse liked his new shoes.,incongruent,shoes,190.07924075042143,12,368.4001137424855
p4,1,p4.edf,RIGHT,The doctor enjoyed her day off.,incongruent,the,232.32549199780442,12,648.3133479560134
p4,1,p4.edf,RIGHT,The doctor enjoyed her day off.,incongruent,doctor,271.9205404013382,12,605.5193602393812
p4,1,p4.edf,RIGHT,The doctor enjoyed her day off.,incongruent,enjoyed,224.79230243669892,12,590.5853901686294
p4,1,p4.edf,RIGHT,The doctor enjoyed her day off.,incongruent,her,250.52888250800007,12,455.454112183836
p4,1,p4.edf,RIGHT,The doctor enjoyed her day off.,incongruent,day,243.93383545297314,12,441.1062478582968
p4,1,p4.edf,RIGHT,The doctor enjoyed her day off.,incongruent,off,228.39034154549816,12,460.2912183402494
p4,2,p4.edf,RIGHT,The nurse liked her new shoes.,congruent,the,198.01843746522474,12,197.09626141689193
p4,2,p4.edf,RIGHT,The nurse liked her new shoes.,congruent,nurse,181.71783960222567,12,176.67495266835712
p4,2,p4.edf,RIGHT,The nurse liked her new shoes.,congruent,liked,178.3522813262929,12,180.34516937506126
p4,2,p4.edf,RIGHT,The nurse liked her new shoes.,congruent,her,207.9233550104969,12,212.2691382161342
p4,2,p4.edf,RIGHT,The nurse liked her new shoes.,congruent,new,185.4977966952081,12,162.29892052025227
p4,2,p4.edf,RIGHT,The nurse liked her new shoes.,congruent,shoes,215.69910561911308,12,191.10733177028774
p5,1,p5.edf,RIGHT,The doctor enjoyed his day off.,congruent,the,219.10413663809834,14,252.35474457770232
p5,1,p5.edf,RIGHT,The doctor enjoyed his day off.,congruent,doctor,208.03040294191973,14,373.2665785428777
p5,1,p5.edf,RIGHT,The doctor enjoyed his day off.,congruent,enjoyed,182.7531550037699,14,265.0159246198955
p5,1,p5.edf,RIGHT,The doctor enjoyed his day off.,congruent,his,213.3278586146058,14,233.09694458368472
p5,1,p5.edf,RIGHT,The doctor enjoyed his day off.,congruent,day,212.46829240807256,14,229.62831436141215
p5,1,p5.edf,RIGHT,The doctor enjoyed his day off.,congruent,off,191.25751962650685,14,278.5081697938225
p5,2,p5.edf,RIGHT,The nurse liked his new shoes.,incongruent,the,311.71463841120635,14,367.5324622264697
p5,2,p5.edf,RIGHT,The nurse liked his new shoes.,incongruent,nurse,174.44001979126736,14,488.62412146780116
p5,2,p5.edf,RIGHT,The nurse liked his new shoes.,incongruent,liked,232.00891289358714,14,396.3816840715654
p5,2,p5.edf,RIGHT,The nurse liked his new shoes.,incongruent,his,263.71966588268947,14,517.5183584053597
p5,2,p5.edf,RIGHT,The nurse liked his new shoes.,incongruent,new,228.1814482384789,14,508.8801848422601
p5,2,p5.edf,RIGHT,The nurse liked his new shoes.,incongruent,shoes,190.07924075042143,14,368.4001137424855
p6,1,p6.edf,RIGHT,The doctor enjoyed her day off.,incongruent,the,232.32549199780442,14,648.3133479560134
p6,1,p6.edf,RIGHT,The doctor enjoyed her day off.,incongruent,doctor,271.9205404013382,14,605.5193602393812
p6,1,p6.edf,RIGHT,The doctor enjoyed her day off.,incongruent,enjoyed,224.79230243669892,14,590.5853901686294
p6,1,p6.edf,RIGHT,The doctor enjoyed her day off.,incongruent,her,250.52888250800007,14,455.454112183836
p6,1,p6.edf,RIGHT,The doctor enjoyed her day off.,incongruent,day,243.93383545297314,14,441.1062478582968
p6,1,p6.edf,RIGHT,The doctor enjoyed her day off.,incongruent,off,228.39034154549816,14,460.2912183402494
p6,2,p6.edf,RIGHT,The nurse liked her new shoes.,congruent,the,198.01843746522474,14,197.09626141689193
p6,2,p6.edf,RIGHT,The nurse liked her new shoes.,congruent,nurse,181.71783960222567,14,176.67495266835712
p6,2,p6.edf,RIGHT,The nurse liked her new shoes.,congruent,liked,178.3522813262929,14,180.34516937506126
p6,2,p6.edf,RIGHT,The nurse liked her new shoes.,congruent,her,207.9233550104969,14,212.2691382161342
p6,2,p6.edf,RIGHT,The nurse liked her new shoes.,congruent,new,185.4977966952081,14,162.29892052025227
p6,2,p6.edf,RIGHT,The nurse liked her new shoes.,congruent,shoes,215.69910561911308,14,191.10733177028774
p7,1,p7.edf,RIGHT,The doctor enjoyed his day off.,congruent,the,219.10413663809834,8,252.35474457770232
p7,1,p7.edf,RIGHT,The doctor enjoyed his day off.,congruent,doctor,208.03040294191973,8,373.2665785428777
p7,1,p7.edf,RIGHT,The doctor enjoyed his day off.,congruent,enjoyed,182.7531550037699,8,265.0159246198955
p7,1,p7.edf,RIGHT,The doctor enjoyed his day off.,congruent,his,213.3278586146058,8,233.09694458368472
p7,1,p7.edf,RIGHT,The doctor enjoyed his day off.,congruent,day,212.46829240807256,8,229.62831436141215
p7,1,p7.edf,RIGHT,The doctor enjoyed his day off.,congruent,off,191.25751962650685,8,278.5081697938225
p7,2,p7.edf,RIGHT,The nurse liked his new shoes.,incongruent,the,311.71463841120635,8,367.5324622264697
