Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category	Eye L/R	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Fixation Average Pupil Size X [px]	Fixation Average Pupil Size Y [px]	Fixation Average Pupil Diameter [mm]	Fixation Dispersion X [px]	Fixation Dispersion Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	AOI Name	Port Status	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Information	Separator	-	1	0.0	-	10905331.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	folie19.jpg
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	1	10.1	293.9	10905341.2	10905625.1	283.8	973.7	505.9	13.3	13.3	3.2	77.1	6.3	-	-	-	-	-	-	-	-	-	-	-	Cell 7	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Saccade	Right	1	293.9	344.0	10905625.1	10905675.2	50.1	-	-	-	-	-	-	-	903.0	502.1	119.1	548.0	9.8	8200.7	10769.1	-11225.1	195.6	395.8	66.7	-	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	2	344.0	627.8	10905675.2	10905959.0	283.8	105.1	527.3	12.8	12.8	3.2	64.6	30.3	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Saccade	Right	2	627.8	644.5	10905959.0	10905975.7	16.7	-	-	-	-	-	-	-	71.7	517.7	64.5	515.0	0.1	141.6	162.6	-212.5	5.6	10.2	100.0	-	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	3	644.5	2246.9	10905975.7	10907578.0	1602.4	65.3	501.8	13.2	13.2	3.3	64.3	27.1	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Saccade	Right	3	2246.9	2280.3	10907578.0	10907611.4	33.4	-	-	-	-	-	-	-	114.0	500.7	720.6	286.5	6.8	12109.7	17113.0	-14110.3	205.2	572.4	50.0	-	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	4	2280.3	2380.4	10907611.4	10907711.6	100.2	790.8	279.8	13.9	13.9	3.4	86.7	10.2	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Saccade	Right	4	2380.4	2397.1	10907711.6	10907728.3	16.7	-	-	-	-	-	-	-	807.3	280.0	943.9	176.6	1.1	4452.3	6713.8	-6225.9	63.8	228.7	100.0	-	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	5	2397.1	2580.7	10907728.3	10907911.9	183.6	940.2	193.0	13.6	13.6	3.4	8.5	28.8	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Saccade	Right	5	2580.7	2614.1	10907911.9	10907945.3	33.4	-	-	-	-	-	-	-	935.4	187.9	458.3	383.2	4.7	9746.6	10466.0	-9714.9	142.1	351.6	100.0	-	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	6	2614.1	2864.5	10907945.3	10908195.7	250.4	413.0	399.6	13.5	13.5	3.3	53.7	34.8	-	-	-	-	-	-	-	-	-	-	-	Cell 1	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Saccade	Right	6	2864.5	2881.2	10908195.7	10908212.4	16.7	-	-	-	-	-	-	-	405.5	418.0	357.7	659.3	1.8	6493.0	9822.1	-7909.2	106.8	328.2	100.0	-	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	7	2881.2	3131.6	10908212.4	10908462.8	250.4	355.6	641.8	13.6	13.6	3.3	19.5	57.7	-	-	-	-	-	-	-	-	-	-	-	Cell 2	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Saccade	Right	7	3131.6	3148.3	10908462.8	10908479.5	16.7	-	-	-	-	-	-	-	362.6	640.3	504.7	629.4	0.9	3770.5	5594.4	-5638.5	51.9	190.1	100.0	-	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	8	3148.3	3298.5	10908479.5	10908629.7	150.2	508.3	623.6	13.5	13.5	3.3	14.2	11.3	-	-	-	-	-	-	-	-	-	-	-	Cell 2	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Saccade	Right	8	3298.5	3331.9	10908629.7	10908663.1	33.4	-	-	-	-	-	-	-	514.0	618.1	386.5	887.0	2.9	5911.9	7776.4	-7309.1	87.1	261.8	50.0	-	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	9	3331.9	3548.9	10908663.1	10908880.1	217.0	372.7	894.3	13.5	13.5	3.3	17.2	14.5	-	-	-	-	-	-	-	-	-	-	-	Cell 3	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Saccade	Right	9	3548.9	3582.3	10908880.1	10908913.5	33.4	-	-	-	-	-	-	-	374.0	897.3	622.4	896.8	2.4	4670.6	6760.7	-6367.5	70.9	228.4	50.0	-	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	10	3582.3	3799.4	10908913.5	10909130.6	217.1	648.6	900.2	13.7	13.7	3.3	33.0	10.2	-	-	-	-	-	-	-	-	-	-	-	Cell 6	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Saccade	Right	10	3799.4	3816.1	10909130.6	10909147.3	16.7	-	-	-	-	-	-	-	647.8	893.6	709.8	574.8	2.2	8848.3	12874.9	-11815.6	131.2	432.9	100.0	-	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	11	3816.1	4016.6	10909147.3	10909347.7	200.4	738.5	609.9	13.5	13.5	3.3	32.9	52.2	-	-	-	-	-	-	-	-	-	-	-	Cell 5	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Saccade	Right	11	4016.6	4033.3	10909347.7	10909364.4	16.7	-	-	-	-	-	-	-	742.2	606.9	737.5	436.9	1.0	4341.3	6769.0	-6011.8	61.5	227.0	100.0	-	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Fixation	Right	12	4033.3	4200.3	10909364.4	10909531.5	167.1	732.4	433.9	13.6	13.6	3.3	9.3	19.9	-	-	-	-	-	-	-	-	-	-	-	Cell 4	-	-	-	-	-	-	-	-	-
Trial001	10905331.2	Folie19.jpg	0.0	9000.0	B002VS101	CornflowerBlue	92.4	Eye	Saccade	Right	12	4200.3	4233.7	10909531.5	10909564.9	33.4	-	-	-	-	-	-	-	730.2	432.0	1063.1	423.6	3.1	6482.5	9418.7	-9205.9	91.7	316.1	50.0	-	-	-	-	-	-	-	-	-	-
